device,impl,matrix_type,m,n,k,mblk,nblk,kblk,mmk,nmk,time_ms_mean,time_ms_std,time_ms_min,time_ms_max,gflops_mean,gflops_std,gflops_min,gflops_max
macbook-m4-pro,04-neon,random_sparse,512,512,512,256,512,512,16,8,9.930255533333334,0.10862305955085483,9.621875,10.126958,27.035230966666667,0.2981022013895146,26.507018,27.898456
macbook-m4-pro,04-neon,random_sparse,1024,1024,1024,256,512,512,16,8,79.6039431,0.376168219483797,79.194792,81.10925,26.977677733333334,0.12617872639726926,26.476433,27.116476
macbook-m4-pro,05-final,banded,128,128,128,256,512,512,16,8,0.2497194666666667,0.012196238633660606,0.220833,0.294625,16.8340163,0.809972597569272,14.236076,18.993103
macbook-m4-pro,05-final,banded,256,256,256,256,512,512,16,8,1.6115445666666666,0.03600394688965823,1.556125,1.708291,20.83106186666667,0.4528199718908421,19.642105,21.562813
macbook-m4-pro,05-final,banded,512,512,512,256,512,512,16,8,11.130209633333333,0.10184109300260058,10.878125,11.354667,24.119695566666667,0.22157608686481226,23.64098,24.676629
macbook-m4-pro,05-final,banded,1024,1024,1024,256,512,512,16,8,84.2439333,3.730987317726087,82.441333,99.679708,25.533794366666665,0.9945772761124574,21.54384,26.048628
macbook-m4-pro,05-final,block_sparse,128,128,128,256,512,512,16,8,0.2434888,0.012697511171824997,0.215958,0.257292,17.274141233333335,0.9585085200337494,16.301727,19.421851
macbook-m4-pro,05-final,block_sparse,256,256,256,256,512,512,16,8,1.5941791333333335,0.024714790908214906,1.526875,1.62525,21.053090066666666,0.3334485572169476,20.645705,21.975887
macbook-m4-pro,05-final,block_sparse,512,512,512,256,512,512,16,8,11.118847266666668,0.08707722408019565,10.895,11.325584,24.1438154,0.18939622669376205,23.701688,24.638408
macbook-m4-pro,05-final,block_sparse,1024,1024,1024,256,512,512,16,8,85.50527346666667,0.6788480871202922,84.697167,88.478875,25.116713366666666,0.1947591390586357,24.271145,25.354846
macbook-m4-pro,05-final,dense_no_zero,128,128,128,256,512,512,16,8,0.24539576666666668,0.006519960718536918,0.220875,0.254958,17.104443699999997,0.48502000699751807,16.450961,18.989492
macbook-m4-pro,05-final,dense_no_zero,256,256,256,256,512,512,16,8,1.7100513666666666,0.5978915093662973,1.535875,4.868625,20.4999545,2.6190383124981227,6.891973,21.847111
macbook-m4-pro,05-final,dense_no_zero,512,512,512,256,512,512,16,8,11.109325133333334,0.05570068590658808,11.008167,11.196,24.1636627,0.12127856857583486,23.976014,24.385118
macbook-m4-pro,05-final,dense_no_zero,1024,1024,1024,256,512,512,16,8,86.34928323333334,2.5738257713757235,85.537875,99.913208,24.888322366666667,0.6452277679319511,21.493491,25.105646
macbook-m4-pro,05-final,diagonal,128,128,128,256,512,512,16,8,0.24850703333333335,0.009487576986133818,0.221792,0.286375,16.900949333333333,0.6253254126029556,14.646195,18.91098
macbook-m4-pro,05-final,diagonal,256,256,256,256,512,512,16,8,1.6137096666666666,0.028889951930986472,1.550041,1.728084,20.799613866666668,0.3621934644101552,19.41713,21.647448
macbook-m4-pro,05-final,diagonal,512,512,512,256,512,512,16,8,11.219607,0.07432905621904388,11.006417,11.378792,23.9265862,0.15920246961292767,23.590857,24.388996
macbook-m4-pro,05-final,diagonal,1024,1024,1024,256,512,512,16,8,83.0303944,0.32145860126054654,82.209917,83.645833,25.8642008,0.10021932380238358,25.673528,26.121954
macbook-m4-pro,05-final,random_dense,128,128,128,256,512,512,16,8,0.250025,0.01155775403250398,0.22,0.277416,16.810071433333334,0.7755654627474949,15.119186,19.065018
macbook-m4-pro,05-final,random_dense,256,256,256,256,512,512,16,8,1.5928292333333334,0.03376925699373903,1.509625,1.659084,21.075218566666667,0.45331330538865866,20.224673,22.226998
macbook-m4-pro,05-final,random_dense,512,512,512,256,512,512,16,8,11.181627733333332,0.22917108873487152,10.896541,12.28775,24.015898266666667,0.457974045390237,21.845778,24.634924
